,lat_distance,lon_distance,x_distance,el,slope_angle,aspect,cardinal,aspect_x,aspect_y,el_ft,drop,tree_cover
0,0.0,0.0,0.0,3682.052001953125,1.69052617128251,124.4697559423317,ESE,-0.5659711361155308,0.8244250560748959,12080.22349008789,,NTL
1,-5.154616220891361,7.5085008682942185,9.107560248159293,3681.783203125,1.69052617128251,124.4697559423317,ESE,-0.5659711361155308,0.8244250560748959,12079.341604140625,-0.881885947264891,NTL
2,-10.309233923060097,15.0170038942995,18.21512311354989,3680.1318359375,10.277115601466896,124.4697559423317,ESE,-0.5659711361155308,0.8244250560748959,12073.923732617188,-5.417871523437498,NTL
3,-15.463852389573477,22.525508034669674,27.32268733024783,3678.08935546875,12.640129760326305,124.4697559388497,ESE,-0.5659711360654287,0.8244250561092913,12067.222680996094,-6.701051621093939,NTL
4,-20.61847111690241,30.034012553980354,36.43025200696789,3675.188720703125,17.665965622939197,124.4697559423317,ESE,-0.5659711361155308,0.8244250560748959,12057.706162431641,-9.516518564452781,NTL
5,-25.77308974286522,37.5425169256355,45.537816504586736,3672.249267578125,17.88740906229332,124.4697559423317,ESE,-0.5659711361155308,0.8244250560748959,12048.062287041015,-9.643875390625908,NTL
6,-30.927708221141685,45.0510210821625,54.645380741262336,3669.23876953125,18.291261785552745,124.4697559423317,ESE,-0.5659711361155308,0.8244250560748959,12038.185324628907,-9.876962412108696,NTL
7,-36.08232650817778,52.55952496109607,63.75294464084643,3666.189697265625,18.509753248902015,124.4697559388497,ESE,-0.5659711360654287,0.8244250561092913,12028.181806376953,-10.00351825195321,NTL
8,-41.23694451505385,60.06802843095501,72.86050804461667,3662.959228515625,19.529685383887944,124.4697559423317,ESE,-0.5659711361155308,0.8244250560748959,12017.583155283202,-10.59865109375096,NTL
9,-46.39156202317862,67.57653117430506,81.96807056715592,3659.36474609375,21.53766629366835,124.4697559423317,ESE,-0.5659711361155308,0.8244250560748959,12005.790233574218,-11.792921708984068,NTL
10,-52.26653013269594,74.51548838518151,91.06006580814784,3655.73388671875,21.76913969342773,130.2534015288029,ESE,-0.6461692899958409,0.7631941094284408,11993.877964902344,-11.912268671874699,NTL
11,-58.14149700279631,81.45444413136141,100.1520591304188,3651.66259765625,24.122281144944257,130.25340153211897,ESE,-0.6461692900400121,0.7631941093910426,11980.52071689453,-13.357248007812814,NTL
12,-64.0164627377277,88.39339853816594,109.24405069697505,3648.2578125,20.530009439784518,130.25340152650378,ESE,-0.6461692899652162,0.7631941094543696,11969.3501615625,-11.170555332031654,NTL
13,-69.89142789349512,95.33235226035211,118.33604136679664,3645.396484375,17.469239876435374,130.2534015288029,ESE,-0.6461692899958409,0.7631941094284408,11959.962601796875,-9.387559765624246,NTL
14,-75.76639241266322,102.27130523064733,127.42803105142853,3641.86376953125,21.233759252210174,130.2534015288029,ESE,-0.6461692899958409,0.7631941094284408,11948.372329628906,-11.590272167968578,NTL
15,-81.64135572971873,109.21025678168535,136.52001887612346,3637.77587890625,24.20938024973529,130.25340152650378,ESE,-0.6461692899652162,0.7631941094543696,11934.96061455078,-13.41171507812578,NTL
16,-87.5163174088953,116.14920639683656,145.6120041650139,3633.296630859375,26.22757576500524,130.25340153211897,ESE,-0.6461692900400121,0.7631941093910426,11920.264918388672,-14.695696162109016,NTL
17,-93.39127753983844,123.08815418417508,154.70398705850758,3629.40673828125,23.163062397134762,130.2534015288029,ESE,-0.6461692899958409,0.7631941094284408,11907.502803222656,-12.762115166015064,NTL
18,-98.81513759914796,130.33684561630105,163.75726190362022,3625.29443359375,24.429160740325,126.80580772163535,ESE,-0.5991047606643197,0.8006706474883092,11894.010989511718,-13.491813710938004,NTL
19,-104.23899648026665,137.58553547338929,172.81053478178666,3621.278564453125,23.92121350246823,126.8058077233427,ESE,-0.5991047606881788,0.8006706474704566,11880.83556540039,-13.175424111328539,NTL
20,-109.66285442251417,144.83422407617803,181.86380609319014,3617.724853515625,21.431663136627666,126.80580772163535,ESE,-0.5991047606643197,0.8006706474883092,11869.176408408202,-11.65915699218749,NTL
21,-115.08671137256148,152.08291135385255,190.91707574918166,3613.591064453125,24.541785392664384,126.80580771819668,ESE,-0.5991047606162663,0.8006706475242653,11855.61410790039,-13.562300507812324,NTL
22,-120.5105668386399,159.33159664737713,199.97034292746974,3608.873291015625,27.524596836187058,126.80580772163535,ESE,-0.5991047606643197,0.8006706474883092,11840.135848095702,-15.478259804687696,NTL
23,-125.93442087280066,166.580280026772,209.02360771530167,3604.8671875,23.869569198017654,126.8058077233427,ESE,-0.5991047606881788,0.8006706474704566,11826.9924634375,-13.143384658202194,NTL
24,-131.35827365350875,173.82896173144644,218.07687041128463,3600.56298828125,25.427850225122516,126.80580772163535,ESE,-0.5991047606643197,0.8006706474883092,11812.871074472656,-14.1213889648443,NTL
25,-136.78212525232848,181.07764185749886,227.13013113523635,3596.7333984375,22.928687175357783,126.80580771819668,ESE,-0.5991047606162663,0.8006706475242653,11800.306802929688,-12.564271542967617,NTL
26,-142.2059758275527,188.3263206146651,236.18339014992011,3592.794677734375,23.511983249572157,126.80580772163535,ESE,-0.5991047606643197,0.8006706474883092,11787.384490498047,-12.92231243164133,NTL
27,-147.62982560210196,195.57499830132286,245.236647827791,3589.494384765625,20.028924004318988,126.8058077233427,ESE,-0.5991047606881788,0.8006706474704566,11776.556757314453,-10.827733183594319,NTL
28,-153.05367497885166,202.82367545679367,254.28990484203246,3586.497314453125,18.31706600904922,126.80580772163535,ESE,-0.5991047606643197,0.8006706474883092,11766.72384915039,-9.832908164062246,NTL
29,-161.49764296283163,207.66638768393344,264.02399221730127,3581.9609375,24.98693238476535,150.16523579532625,SE,-0.8674637547874676,0.49750038606018016,11751.8407221875,-14.883126962889946,NTL
30,-169.9416068229203,212.50909754447724,273.75807483786144,3577.99853515625,22.14950797137384,150.16523580297053,SE,-0.867463754853843,0.4975003859444451,11738.84071408203,-13.000008105469533,NTL
31,-178.3855670814784,217.3518053409992,283.49215330737275,3574.25439453125,21.038866185144094,150.16523579532625,SE,-0.8674637547874676,0.49750038606018016,11726.556787753907,-12.283926328123925,NTL
32,-186.8295232205932,222.19451077497328,293.2262270280478,3569.50732421875,25.997362542783033,150.16523579532625,SE,-0.8674637547874676,0.49750038606018016,11710.982409589844,-15.574378164063091,NTL
33,-195.2734745734405,227.0372134624711,302.96029523043626,3564.7578125,26.00898354709274,150.16523580297053,SE,-0.867463754853843,0.4975003859444451,11695.4000215625,-15.582388027343768,NTL
34,-203.71742158938457,231.87991366420243,312.6943584340486,3560.687744140625,22.69109005385451,150.16523579532625,SE,-0.8674637547874676,0.49750038606018016,11682.046778486329,-13.353243076171566,NTL
35,-212.16136464438233,236.72261159428575,322.4284170715378,3556.507568359375,23.24052929375263,150.16523579532625,SE,-0.8674637547874676,0.49750038606018016,11668.332290576172,-13.714487910156095,NTL
36,-220.60530341236156,241.56530706421776,332.1624707662676,3551.944091796875,25.11791795804398,150.16523580297053,SE,-0.867463754853843,0.4975003859444451,11653.36025413086,-14.972036445313279,NTL
37,-229.04923734741894,246.40799976391094,341.89651889041795,3546.940673828125,27.203709780063143,150.16523579532625,SE,-0.8674637547874676,0.49750038606018016,11636.944840322265,-16.415413808594167,NTL
38,-237.49316617181793,251.25068953258307,351.6305611230733,3541.958740234375,27.103603422898143,150.16523579532625,SE,-0.8674637547874676,0.49750038606018016,11620.599913310547,-16.344927011718028,NTL
39,-245.93709000146637,256.0933764352115,361.3645975971057,3537.13037109375,26.382767480896497,150.16523580297053,SE,-0.867463754853843,0.4975003859444451,11604.75880669922,-15.841106611327632,NTL
40,-254.3810093675784,260.93606077944787,371.0986289263811,3532.947265625,23.255145474129545,150.16523579532625,SE,-0.8674637547874676,0.49750038606018016,11591.034706953125,-13.724099746093998,NTL
41,-264.20288338128665,257.7009766487654,381.4395659474518,3527.35986328125,28.383185024841318,198.23061383524026,S,-0.9498050315648543,-0.3128424555812177,11572.703333847656,-18.331373105469538,NTL
42,-274.0247492785305,254.46589519299394,391.78049442263807,3521.602294921875,29.10795808600307,198.23061382709918,S,-0.9498050316093057,-0.3128424554462609,11553.813673271485,-18.88966057617108,NTL
43,-283.84660742790936,251.23081628763202,402.1214147409868,3516.490966796875,26.302346560856176,198.23061383524026,S,-0.9498050315648543,-0.3128424555812177,11537.04422350586,-16.769449765624813,NTL
44,-293.6684588359684,247.99573960269532,412.46232796175275,3512.03759765625,23.299384529802165,198.23061383524026,S,-0.9498050315648543,-0.3128424555812177,11522.433431894531,-14.61079161132875,NTL
45,-303.4903033634792,244.76066518558923,422.8032339378657,3506.750244140625,27.080872596486667,198.23061382709918,S,-0.9498050316093057,-0.3128424554462609,11505.086470986327,-17.346960908203982,NTL
46,-313.31214085929525,241.52559308300377,433.1441325111593,3502.09716796875,24.226233134021914,198.23061383524026,S,-0.9498050315648543,-0.3128424555812177,11489.820472558593,-15.265998427734303,NTL
47,-322.558525489293,236.45803423467137,443.6881251803132,3496.765869140625,26.822269332372365,208.72531491446523,SSW,-0.8769339016184797,-0.4806109988256516,11472.329334111328,-17.491138447265257,NTL
48,-331.80490376551717,231.39047886857804,454.2321106040252,3491.05859375,28.425910410101192,208.72531491446523,SSW,-0.8769339016184797,-0.4806109988256516,11453.604676718749,-18.724657392578592,NTL
49,-341.05127535243815,226.32292716861355,464.7760883996786,3485.264892578125,28.787898757288236,208.72531491446523,SSW,-0.8769339016184797,-0.4806109988256516,11434.596470166016,-19.0082065527331,NTL
50,-350.29764014210826,221.25537919544226,475.3200584434545,3479.41015625,29.042042404681176,208.72531490730452,SSW,-0.8769339016785455,-0.48061099871605434,11415.38801703125,-19.208453134766387,NTL
51,-359.54399820320975,216.18783490841687,485.86402081511824,3473.708740234375,28.401332159847136,208.72531491446523,SSW,-0.8769339016184797,-0.4806109988256516,11396.682583310547,-18.705433720702786,NTL
52,-368.7903492464352,211.1202944675975,496.40797518403957,3467.456787109375,30.665481129503515,208.72531491446523,SSW,-0.8769339016184797,-0.4806109988256516,11376.170925419921,-20.51165789062543,NTL
53,-378.03669314106406,206.05275794462656,506.9519214011532,3461.57568359375,29.151494630342608,208.72531491446523,SSW,-0.8769339016184797,-0.4806109988256516,11356.87596576172,-19.29495965820206,NTL
54,-387.28303064475153,200.9852249242648,517.4958603304411,3456.3681640625,26.284189888615757,208.72531491446523,SSW,-0.8769339016184797,-0.4806109988256516,11339.790927382812,-17.085038378907484,BTL
55,-397.9566350329327,199.16191413635062,528.324077767523,3453.386962890625,15.393179094390602,189.69394029285573,S,-0.985721283323029,-0.16838512880893272,11330.010083330078,-9.7808440527333,BTL
56,-408.63023586209175,197.33860395483424,539.1522915942927,3452.029296875,7.146580757011861,189.69394030104243,S,-0.9857212832989692,-0.16838512894977734,11325.555798359375,-4.454284970703156,BTL
57,-419.30383467105577,195.51529411985175,549.980503371362,3450.880615234375,6.055421195224175,189.693940293555,S,-0.9857212833209739,-0.16838512882096293,11321.787157685547,-3.768640673828486,BTL
58,-429.9774306479542,193.6919847687889,560.8087122753192,3448.557373046875,12.109486716369428,189.69394029285573,S,-0.985721283323029,-0.16838512880893272,11314.16497178711,-7.6221858984372375,BTL
59,-440.6510222191373,191.8686761687596,571.6369167100061,3445.529052734375,15.6246941630224,189.69394030104243,S,-0.9857212832989692,-0.16838512894977734,11304.229537373047,-9.935434414062911,BTL
60,-451.32460971971096,190.04536826565882,582.4651170148542,3443.6083984375,10.058237619470697,189.69394029285573,S,-0.985721283323029,-0.16838512880893272,11297.928177929687,-6.301359443359615,BTL
61,-461.99819448879595,188.22206082916264,593.2933145486464,3442.174072265625,7.545593733261484,189.69394029285573,S,-0.985721283323029,-0.16838512880893272,11293.222383251954,-4.705794677733138,BTL
62,-472.67177668748707,186.39875383161808,604.1215094748338,3440.447998046875,9.057063758193692,189.693940293555,S,-0.9857212833209739,-0.16838512882096293,11287.55940991211,-5.662973339844029,BTL
63,-483.3453564253423,184.57544725300852,614.9497019047805,3439.14306640625,6.871714210039376,189.69394030104243,S,-0.9857212832989692,-0.16838512894977734,11283.278137988282,-4.281271923828172,BTL
64,-494.01893316662324,182.75214118785618,625.7778912944815,3436.779052734375,12.315590066012778,189.69394029285573,S,-0.985721283323029,-0.16838512880893272,11275.522187373046,-7.7559506152356334,BTL
65,-504.6398755144328,180.57620605524656,636.6194368511269,3434.92919921875,9.682921772647548,191.57809537689556,S,-0.9796520516670527,-0.2007034072070882,11269.453113964844,-6.0690734082018025,BTL
66,-515.2608141561514,178.40027168175135,647.4609786247358,3432.111083984375,14.570822154024897,191.57809537772593,S,-0.979652051664144,-0.2007034072212857,11260.207328779297,-9.245785185546993,BTL
67,-525.8817480817621,176.2243382746156,658.3025155842485,3429.048583984375,15.77383975988061,191.57809537689556,S,-0.9796520516670527,-0.2007034072070882,11250.159756279298,-10.04757249999966,BTL
68,-536.5026771475942,174.04840586295268,669.1440475830742,3426.060546875,15.408751468445296,191.57809537772593,S,-0.979652051664144,-0.2007034072212857,11240.356484609374,-9.80327166992356,BTL
69,-547.1236020679439,171.87247429917824,679.9855753505955,3423.852294921875,11.512778738654632,191.5780953850018,S,-0.9796520516386571,-0.20070340734568998,11233.111563271485,-7.2449213378895365,BTL
70,-557.7445241752737,169.69654331327894,690.8271002463545,3422.461181640625,7.311864526541456,191.57809537689556,S,-0.9796520516670527,-0.2007034072070882,11228.547543173829,-4.5640200976558845,BTL
71,-568.3654430974228,167.520612979774,701.668621890807,3419.809326171875,13.744774261015362,191.57809537772593,S,-0.979652051664144,-0.2007034072212857,11219.847229677735,-8.700313496094168,BTL
72,-578.9863566286263,165.344683750884,712.5101380323085,3415.7705078125,20.43200331713628,191.57809537689556,S,-0.9796520516670527,-0.2007034072070882,11206.596512851562,-13.25071682617272,BTL
73,-589.6072644492561,163.16875569177103,723.3516483446567,3412.740478515625,15.614830602443188,191.57809537772593,S,-0.979652051664144,-0.2007034072212857,11196.655471533202,-9.941041318359567,BTL
74,-600.228168335783,160.9928284388065,734.1931546411561,3410.826171875,10.013615663925789,191.57809537689556,S,-0.9796520516670527,-0.2007034072070882,11190.374937734376,-6.280533798826582,BTL
75,-610.1078477825552,163.48146008552962,744.3814495644513,3408.04345703125,15.2765195653126,165.86166914124288,SSE,-0.9697088198911998,0.24426380129936687,11181.245295566407,-9.129642167968996,BTL
76,-619.9875241616745,165.97009095933313,754.5697413242203,3406.45751953125,8.847811074760282,165.86166914231396,SSE,-0.9697088198957659,0.24426380128124003,11176.042088378907,-5.203207187500084,BTL
77,-629.8671985083804,168.45872132138035,764.7580309881365,3405.01318359375,8.068731030485315,165.86166914124288,SSE,-0.9697088198911998,0.24426380129936687,11171.303453261718,-4.738635117188096,BTL
78,-639.7468706238302,170.9473511213876,774.946318351098,3403.169189453125,10.258994085803806,165.86166914124288,SSE,-0.9697088198911998,0.24426380129936687,11165.25360352539,-6.049849736327815,BTL
79,-649.6265399670159,173.43598022307827,785.1346028551969,3401.0244140625,11.887976239100134,165.86166914124288,SSE,-0.9697088198911998,0.24426380129936687,11158.216938632813,-7.036664892577392,BTL
80,-659.5062064197125,175.9246085964758,795.3228843784676,3399.032470703125,11.062532441003187,165.86166914231396,SSE,-0.9697088198957659,0.24426380128124003,11151.68169118164,-6.535247451172836,BTL
81,-669.3858703863696,178.41323634385134,805.5111633380893,3397.40625,9.068869132467054,165.86166914124288,SSE,-0.9697088198911998,0.24426380129936687,11146.34632125,-5.335369931641253,BTL
82,-679.2655330319186,180.90186375844775,815.6994409353349,3396.916259765625,2.753434712464711,165.86166914124288,SSE,-0.9697088198911998,0.24426380129936687,11144.738741689453,-1.6075795605465828,BTL
83,-689.1451951634293,183.390491043561,825.887718002485,3396.33154296875,3.2846667659846176,165.86166914124288,SSE,-0.9697088198911998,0.24426380129936687,11142.820379433593,-1.9183622558593925,BTL
84,-699.0248572075369,185.879118308021,836.0759949798347,3396.389892578125,0.32813691749418733,165.8616691338098,SSE,-0.969708819859511,0.24426380142516935,11143.011815166015,0.19143573242217826,BTL
85,-708.904519641637,188.3677456693547,846.2642723590263,3396.418701171875,0.16201035514128687,165.86166914124288,SSE,-0.9697088198911998,0.24426380129936687,11143.106331552734,0.09451638671816909,BTL
86,-718.7841836409203,190.85637342494863,856.4525513522935,3397.997314453125,8.807602863292797,165.86166914124288,SSE,-0.9697088198911998,0.24426380129936687,11148.28550915039,5.179177597656235,BTL
87,-728.6638507978525,193.34500197593522,866.6408336018462,3400.071533203125,11.507502245574704,165.86166914124288,SSE,-0.9697088198911998,0.24426380129936687,11155.09068899414,6.805179843750011,BTL
88,-738.5435210789952,195.83363131369518,876.8291190731536,3401.611083984375,8.592948602448654,165.86166914231396,SSE,-0.9697088198957659,0.24426380128124003,11160.141708779296,5.0510197851563134,BTL
89,-748.4231933122372,198.3222611433736,887.0174065575868,3402.173095703125,3.1573802416668526,165.86166914124288,SSE,-0.9697088198911998,0.24426380129936687,11161.98557930664,1.8438705273438245,BTL
90,-758.3028666363995,200.81089124784825,897.2056951670178,3402.605712890625,2.4314444400927337,165.86166914124288,SSE,-0.9697088198911998,0.24426380129936687,11163.404927080079,1.419347773438858,BTL
91,-768.1825417068362,203.2995217921989,907.3939855772724,3404.006591796875,7.8290156584521835,165.86166914124288,SSE,-0.9697088198911998,0.24426380129936687,11168.00098663086,4.59605955078041,BTL
92,-778.0622180631734,205.78815266026373,917.5822773135476,3403.851318359375,0.8731418544192397,165.86166914231396,SSE,-0.9697088198957659,0.24426380128124003,11167.491559326172,-0.5094273046870512,BTL
93,-787.9418944555291,208.2767835375978,927.7705690870143,3403.639404296875,1.191566864987901,165.86166914124288,SSE,-0.9697088198911998,0.24426380129936687,11166.79630319336,-0.6952561328125739,BTL
